activity_id,opportunity_id,sales_agent,activity_date,activity_type,activity_outcome
ACT-000129,JJXRR8R6,James Ascencio,2017-02-28 09:00:00,Call,Rescheduled
ACT-000130,JJXRR8R6,James Ascencio,2016-12-06 15:00:00,Meeting,Completed
ACT-000131,JJXRR8R6,James Ascencio,2017-03-13 16:00:00,Email,Rescheduled
ACT-000132,JJXRR8R6,James Ascencio,2016-12-18 12:00:00,Email,No answer
ACT-000133,WF4HA5NW,Moses Frase,2017-02-14 16:00:00,Demo,Connected
ACT-000134,WF4HA5NW,Moses Frase,2016-12-18 17:00:00,Demo,Connected
ACT-000135,WF4HA5NW,Moses Frase,2017-03-17 13:00:00,Email,Interested
ACT-000136,WF4HA5NW,Moses Frase,2017-03-02 13:00:00,Email,Connected
ACT-000137,WF4HA5NW,Moses Frase,2016-11-22 12:00:00,Follow-up,No answer
ACT-000138,WF4HA5NW,Moses Frase,2017-01-23 17:00:00,Meeting,Connected
ACT-000139,WF4HA5NW,Moses Frase,2017-03-10 11:00:00,Email,Connected
ACT-000140,WF4HA5NW,Moses Frase,2017-02-11 16:00:00,Email,Responded
ACT-000141,C5K2JP1H,Violet Mclelland,2017-02-13 08:00:00,Follow-up,Responded
ACT-000142,C5K2JP1H,Violet Mclelland,2017-01-07 10:00:00,Email,Responded
ACT-000143,C5K2JP1H,Violet Mclelland,2016-12-07 10:00:00,Call,Connected
ACT-000144,C5K2JP1H,Violet Mclelland,2017-03-07 13:00:00,Demo,Interested
ACT-000145,C5K2JP1H,Violet Mclelland,2017-02-20 15:00:00,Follow-up,No answer
ACT-000146,C5K2JP1H,Violet Mclelland,2016-11-24 08:00:00,Call,Completed
ACT-000147,C5K2JP1H,Violet Mclelland,2016-12-08 13:00:00,Demo,Not interested
ACT-000148,ADRB8OMB,Darcel Schlecht,2016-11-15 15:00:00,Meeting,Rescheduled
ACT-000149,ADRB8OMB,Darcel Schlecht,2017-02-20 15:00:00,Demo,Connected
ACT-000150,ADRB8OMB,Darcel Schlecht,2016-11-09 11:00:00,Email,Interested
ACT-000151,SBCR987L,Kami Bicknell,2017-02-08 10:00:00,Meeting,No answer
ACT-000152,SBCR987L,Kami Bicknell,2017-03-03 08:00:00,Email,Connected
ACT-000153,SBCR987L,Kami Bicknell,2016-12-17 15:00:00,Demo,Interested
ACT-000154,SBCR987L,Kami Bicknell,2016-11-14 11:00:00,Call,Completed
ACT-000155,SBCR987L,Kami Bicknell,2016-11-17 16:00:00,Follow-up,Completed
ACT-000156,SBCR987L,Kami Bicknell,2017-01-27 08:00:00,Call,Responded
ACT-000157,SBCR987L,Kami Bicknell,2017-03-06 14:00:00,Email,Connected
ACT-000158,SBCR987L,Kami Bicknell,2016-11-15 15:00:00,Email,Interested
ACT-000159,SBCR987L,Kami Bicknell,2016-11-27 15:00:00,Email,Not interested
ACT-000160,SBCR987L,Kami Bicknell,2017-02-13 17:00:00,Demo,Connected
ACT-000161,UP409DSB,Maureen Marcano,2016-12-05 12:00:00,Call,Not interested
ACT-000162,UP409DSB,Maureen Marcano,2016-11-28 16:00:00,Follow-up,Completed
ACT-000163,UP409DSB,Maureen Marcano,2016-11-17 10:00:00,Meeting,Not interested
ACT-000164,UP409DSB,Maureen Marcano,2016-11-13 16:00:00,Meeting,Rescheduled
ACT-000165,JSD4APT2,Versie Hillebrand,2016-12-10 16:00:00,Meeting,Not interested
ACT-000166,JSD4APT2,Versie Hillebrand,2016-11-20 12:00:00,Demo,Rescheduled
ACT-000167,JSD4APT2,Versie Hillebrand,2016-11-25 12:00:00,Follow-up,Rescheduled
ACT-000168,JSD4APT2,Versie Hillebrand,2017-02-21 16:00:00,Meeting,No answer
ACT-000169,AO9Z2D17,Violet Mclelland,2016-11-23 12:00:00,Call,Completed
ACT-000170,AO9Z2D17,Violet Mclelland,2017-01-18 09:00:00,Call,Not interested
ACT-000171,AO9Z2D17,Violet Mclelland,2017-01-11 17:00:00,Email,Completed
ACT-000172,AO9Z2D17,Violet Mclelland,2017-02-10 17:00:00,Follow-up,No answer
ACT-000173,AO9Z2D17,Violet Mclelland,2016-11-23 15:00:00,Meeting,Interested
ACT-000174,AO9Z2D17,Violet Mclelland,2016-12-01 08:00:00,Meeting,Completed
ACT-000175,AO9Z2D17,Violet Mclelland,2017-01-10 17:00:00,Call,Interested
ACT-000176,AO9Z2D17,Violet Mclelland,2017-02-09 13:00:00,Email,Connected
ACT-000177,AO9Z2D17,Violet Mclelland,2017-02-04 08:00:00,Demo,Interested
ACT-000178,5M58DTJK,Elease Gluck,2016-11-11 08:00:00,Follow-up,Responded
ACT-000179,5M58DTJK,Elease Gluck,2017-02-27 10:00:00,Meeting,No answer
ACT-000180,5M58DTJK,Elease Gluck,2016-11-28 11:00:00,Call,Completed
ACT-000181,5M58DTJK,Elease Gluck,2016-12-13 09:00:00,Demo,No answer
ACT-000182,5M58DTJK,Elease Gluck,2017-02-22 08:00:00,Follow-up,Completed
ACT-000183,5M58DTJK,Elease Gluck,2017-01-20 13:00:00,Email,Not interested
ACT-000184,5M58DTJK,Elease Gluck,2017-01-25 08:00:00,Meeting,Responded
ACT-000185,5M58DTJK,Elease Gluck,2016-11-29 10:00:00,Meeting,Responded
ACT-000186,KNY1OSAB,Maureen Marcano,2017-03-08 13:00:00,Follow-up,No answer
ACT-000187,KNY1OSAB,Maureen Marcano,2016-11-21 10:00:00,Call,Connected
ACT-000188,KNY1OSAB,Maureen Marcano,2017-02-05 13:00:00,Meeting,Interested
ACT-000189,KNY1OSAB,Maureen Marcano,2016-12-17 09:00:00,Meeting,Interested
ACT-000190,KNY1OSAB,Maureen Marcano,2016-11-21 13:00:00,Email,Rescheduled
ACT-000191,KNY1OSAB,Maureen Marcano,2017-03-04 17:00:00,Demo,No answer
ACT-000192,KNY1OSAB,Maureen Marcano,2016-12-15 17:00:00,Demo,Responded
ACT-000193,EAZDUUM9,Rosie Papadopoulos,2017-02-13 12:00:00,Follow-up,Completed
ACT-000194,EAZDUUM9,Rosie Papadopoulos,2017-02-12 10:00:00,Demo,No answer
ACT-000195,2STUSOFE,Versie Hillebrand,2017-01-20 10:00:00,Demo,Rescheduled
ACT-000196,2STUSOFE,Versie Hillebrand,2017-02-19 17:00:00,Email,Not interested
ACT-000197,2STUSOFE,Versie Hillebrand,2017-01-04 14:00:00,Email,Connected
ACT-000198,2STUSOFE,Versie Hillebrand,2017-01-01 12:00:00,Follow-up,Completed
ACT-000199,2STUSOFE,Versie Hillebrand,2016-11-28 15:00:00,Call,No answer
ACT-000200,2STUSOFE,Versie Hillebrand,2017-01-14 10:00:00,Email,Connected
ACT-000201,JYKM0B00,James Ascencio,2016-11-22 16:00:00,Call,Rescheduled
ACT-000202,JYKM0B00,James Ascencio,2016-12-01 15:00:00,Demo,Connected
ACT-000203,JYKM0B00,James Ascencio,2017-01-30 09:00:00,Follow-up,Interested
ACT-000204,JYKM0B00,James Ascencio,2016-12-28 09:00:00,Email,Connected
ACT-000205,JYKM0B00,James Ascencio,2016-12-22 08:00:00,Demo,No answer
ACT-000206,JYKM0B00,James Ascencio,2017-01-14 11:00:00,Follow-up,Responded
ACT-000207,JYKM0B00,James Ascencio,2017-01-27 15:00:00,Email,Connected
ACT-000208,JYKM0B00,James Ascencio,2016-12-06 08:00:00,Call,Connected
ACT-000209,KU28360J,Kary Hendrixson,2016-11-20 12:00:00,Call,Rescheduled
ACT-000210,KU28360J,Kary Hendrixson,2017-02-13 12:00:00,Demo,Completed
ACT-000211,KU28360J,Kary Hendrixson,2017-02-06 17:00:00,Demo,Connected
ACT-000212,KU28360J,Kary Hendrixson,2017-01-18 09:00:00,Call,Connected
ACT-000213,KU28360J,Kary Hendrixson,2016-11-20 14:00:00,Call,No answer
ACT-000214,KU28360J,Kary Hendrixson,2017-01-30 11:00:00,Email,Rescheduled
ACT-000215,N4SD17JR,Reed Clapper,2017-02-04 11:00:00,Call,No answer
ACT-000216,N4SD17JR,Reed Clapper,2016-11-14 16:00:00,Email,Interested
ACT-000217,N4SD17JR,Reed Clapper,2016-11-30 17:00:00,Email,Rescheduled
ACT-000218,N4SD17JR,Reed Clapper,2016-12-08 14:00:00,Demo,Not interested
ACT-000219,N4SD17JR,Reed Clapper,2016-11-16 12:00:00,Demo,Connected
ACT-000220,N4SD17JR,Reed Clapper,2017-02-02 08:00:00,Email,Responded
ACT-000221,E67P9Y3Q,Rosalina Dieter,2017-02-05 11:00:00,Demo,No answer
ACT-000222,E67P9Y3Q,Rosalina Dieter,2017-02-20 11:00:00,Follow-up,Completed
ACT-000223,E67P9Y3Q,Rosalina Dieter,2016-12-19 08:00:00,Follow-up,Not interested
ACT-000224,E67P9Y3Q,Rosalina Dieter,2016-12-20 17:00:00,Email,Interested
ACT-000225,E67P9Y3Q,Rosalina Dieter,2017-02-07 13:00:00,Email,Not interested
ACT-000226,E67P9Y3Q,Rosalina Dieter,2016-12-02 09:00:00,Demo,Interested
ACT-000227,E67P9Y3Q,Rosalina Dieter,2016-11-25 15:00:00,Meeting,Not interested
ACT-000228,E67P9Y3Q,Rosalina Dieter,2017-01-16 10:00:00,Follow-up,Responded
ACT-000229,E67P9Y3Q,Rosalina Dieter,2017-01-17 13:00:00,Email,Rescheduled
ACT-000230,E67P9Y3Q,Rosalina Dieter,2017-02-24 10:00:00,Email,Interested
ACT-000231,AT3MMVIS,Wilburn Farren,2016-12-15 15:00:00,Call,Not interested
ACT-000232,AT3MMVIS,Wilburn Farren,2016-11-30 08:00:00,Call,Not interested
ACT-000233,AT3MMVIS,Wilburn Farren,2016-11-16 12:00:00,Demo,No answer
ACT-000234,AT3MMVIS,Wilburn Farren,2017-02-15 11:00:00,Follow-up,Completed
ACT-000235,AT3MMVIS,Wilburn Farren,2016-12-30 11:00:00,Meeting,Responded
ACT-000236,AT3MMVIS,Wilburn Farren,2016-12-10 11:00:00,Meeting,Responded
ACT-000237,AT3MMVIS,Wilburn Farren,2017-01-11 14:00:00,Email,Not interested
ACT-000238,REJ11LRY,Garret Kinder,2016-11-28 17:00:00,Follow-up,No answer
ACT-000239,REJ11LRY,Garret Kinder,2017-03-01 14:00:00,Follow-up,Responded
ACT-000240,REJ11LRY,Garret Kinder,2016-12-30 16:00:00,Meeting,Interested
ACT-000241,REJ11LRY,Garret Kinder,2017-02-21 12:00:00,Follow-up,Rescheduled
ACT-000242,REJ11LRY,Garret Kinder,2016-12-22 11:00:00,Demo,Interested
ACT-000243,REJ11LRY,Garret Kinder,2017-02-25 17:00:00,Follow-up,Interested
ACT-000244,REJ11LRY,Garret Kinder,2017-01-26 10:00:00,Follow-up,Not interested
ACT-000245,REJ11LRY,Garret Kinder,2016-12-22 16:00:00,Call,Rescheduled
ACT-000246,REJ11LRY,Garret Kinder,2017-01-19 09:00:00,Demo,No answer
ACT-000247,REJ11LRY,Garret Kinder,2016-11-23 17:00:00,Email,Rescheduled
ACT-000248,ERV0CAZ7,Versie Hillebrand,2017-01-22 09:00:00,Email,Connected
ACT-000249,ERV0CAZ7,Versie Hillebrand,2016-11-30 09:00:00,Demo,Rescheduled
ACT-000250,ERV0CAZ7,Versie Hillebrand,2017-01-20 08:00:00,Meeting,Responded
ACT-000251,ERV0CAZ7,Versie Hillebrand,2017-01-10 14:00:00,Demo,Rescheduled
ACT-000252,ERV0CAZ7,Versie Hillebrand,2016-12-06 17:00:00,Meeting,Completed
ACT-000253,ERV0CAZ7,Versie Hillebrand,2016-11-23 16:00:00,Meeting,Connected
ACT-000254,ERV0CAZ7,Versie Hillebrand,2017-01-02 09:00:00,Email,Interested
ACT-000255,ERV0CAZ7,Versie Hillebrand,2017-03-01 10:00:00,Follow-up,Rescheduled
ACT-000256,ERV0CAZ7,Versie Hillebrand,2017-03-09 13:00:00,Email,Rescheduled
ACT-000257,8SOQADK7,Anna Snelling,2017-03-12 09:00:00,Demo,Completed
ACT-000258,8SOQADK7,Anna Snelling,2016-12-11 09:00:00,Call,Completed
ACT-000259,TCHFT25B,Darcel Schlecht,2017-01-30 11:00:00,Email,No answer
ACT-000260,TCHFT25B,Darcel Schlecht,2016-12-30 17:00:00,Follow-up,No answer
ACT-000261,TCHFT25B,Darcel Schlecht,2016-12-23 08:00:00,Follow-up,No answer
ACT-000262,TCHFT25B,Darcel Schlecht,2016-12-22 11:00:00,Meeting,Connected
ACT-000263,TCHFT25B,Darcel Schlecht,2016-12-07 17:00:00,Follow-up,Completed
ACT-000264,TCHFT25B,Darcel Schlecht,2016-11-16 08:00:00,Demo,Rescheduled
ACT-000265,TCHFT25B,Darcel Schlecht,2017-01-30 11:00:00,Call,Not interested
ACT-000266,TCHFT25B,Darcel Schlecht,2016-12-29 13:00:00,Email,Interested
ACT-000267,TCHFT25B,Darcel Schlecht,2017-01-04 17:00:00,Demo,No answer
ACT-000268,CZVN09WN,Darcel Schlecht,2017-01-08 11:00:00,Meeting,Responded
ACT-000269,CZVN09WN,Darcel Schlecht,2016-12-11 15:00:00,Follow-up,Not interested
ACT-000270,CZVN09WN,Darcel Schlecht,2016-12-09 08:00:00,Follow-up,Not interested
ACT-000271,CZVN09WN,Darcel Schlecht,2016-12-21 16:00:00,Demo,Rescheduled
ACT-000272,CZVN09WN,Darcel Schlecht,2017-01-19 08:00:00,Demo,Not interested
ACT-000273,CZVN09WN,Darcel Schlecht,2016-11-28 12:00:00,Email,Not interested
ACT-000274,CZVN09WN,Darcel Schlecht,2017-01-31 09:00:00,Follow-up,Completed
ACT-000275,CZVN09WN,Darcel Schlecht,2017-02-26 10:00:00,Meeting,Interested
ACT-000276,CZVN09WN,Darcel Schlecht,2016-12-08 15:00:00,Email,No answer
ACT-000277,EG7OFLFR,Kami Bicknell,2016-12-02 13:00:00,Meeting,Rescheduled
ACT-000278,EG7OFLFR,Kami Bicknell,2016-12-12 14:00:00,Email,Interested
ACT-000279,EG7OFLFR,Kami Bicknell,2016-12-13 15:00:00,Demo,Not interested
ACT-000280,EG7OFLFR,Kami Bicknell,2016-11-24 13:00:00,Demo,Not interested
ACT-000281,EG7OFLFR,Kami Bicknell,2016-11-23 17:00:00,Demo,Not interested
ACT-000282,EG7OFLFR,Kami Bicknell,2016-11-17 17:00:00,Follow-up,Interested
ACT-000283,EG7OFLFR,Kami Bicknell,2016-11-21 15:00:00,Call,No answer
ACT-000284,30UQWUKB,Marty Freudenburg,2017-03-03 15:00:00,Call,Responded
ACT-000285,30UQWUKB,Marty Freudenburg,2017-02-06 13:00:00,Email,Connected
ACT-000286,30UQWUKB,Marty Freudenburg,2017-03-08 12:00:00,Meeting,Interested
ACT-000287,30UQWUKB,Marty Freudenburg,2017-02-12 15:00:00,Meeting,Not interested
ACT-000288,30UQWUKB,Marty Freudenburg,2016-12-06 16:00:00,Demo,Not interested
ACT-000289,30UQWUKB,Marty Freudenburg,2016-12-01 09:00:00,Email,Not interested
ACT-000290,OLVI7L8M,Cassey Cress,2016-11-16 13:00:00,Meeting,Responded
ACT-000291,OLVI7L8M,Cassey Cress,2016-12-07 12:00:00,Call,Not interested
ACT-000292,OLVI7L8M,Cassey Cress,2016-11-22 15:00:00,Demo,No answer
ACT-000293,OLVI7L8M,Cassey Cress,2016-11-18 12:00:00,Email,Connected
ACT-000294,97UN20YY,Darcel Schlecht,2017-02-14 11:00:00,Call,No answer
ACT-000295,97UN20YY,Darcel Schlecht,2016-12-24 09:00:00,Email,Connected
ACT-000296,97UN20YY,Darcel Schlecht,2017-02-28 15:00:00,Follow-up,Interested
ACT-000297,97UN20YY,Darcel Schlecht,2017-03-04 08:00:00,Follow-up,Rescheduled
ACT-000298,97UN20YY,Darcel Schlecht,2017-03-14 17:00:00,Call,Rescheduled
ACT-000299,97UN20YY,Darcel Schlecht,2017-01-02 16:00:00,Follow-up,Completed
ACT-000300,97UN20YY,Darcel Schlecht,2017-01-11 11:00:00,Call,No answer
ACT-000301,JXLERZ9O,Kary Hendrixson,2017-01-23 11:00:00,Demo,Completed
