transition_id,opportunity_id,sales_agent,from_stage,to_stage,changed_at,days_in_previous_stage
ST-000034,6PTR7VBR,Versie Hillebrand,Prospecting,Engaging,2016-11-06,3
ST-000035,6PTR7VBR,Versie Hillebrand,Engaging,Won,2017-03-05,119
ST-000036,902REDPA,Daniell Hammack,Prospecting,Engaging,2016-11-07,5
ST-000037,902REDPA,Daniell Hammack,Engaging,Lost,2017-03-09,122
ST-000038,5J9CMGDV,Elease Gluck,Prospecting,Engaging,2016-11-07,9
ST-000039,5J9CMGDV,Elease Gluck,Engaging,Won,2017-03-08,121
ST-000040,JJXRR8R6,James Ascencio,Prospecting,Engaging,2016-11-07,10
ST-000041,JJXRR8R6,James Ascencio,Engaging,Lost,2017-03-17,130
ST-000042,WF4HA5NW,Moses Frase,Prospecting,Engaging,2016-11-07,19
ST-000043,WF4HA5NW,Moses Frase,Engaging,Won,2017-03-18,131
ST-000044,C5K2JP1H,Violet Mclelland,Prospecting,Engaging,2016-11-07,22
ST-000045,C5K2JP1H,Violet Mclelland,Engaging,Won,2017-03-11,124
ST-000046,ADRB8OMB,Darcel Schlecht,Prospecting,Engaging,2016-11-08,3
ST-000047,ADRB8OMB,Darcel Schlecht,Engaging,Won,2017-03-26,138
ST-000048,SBCR987L,Kami Bicknell,Prospecting,Engaging,2016-11-10,20
ST-000049,SBCR987L,Kami Bicknell,Engaging,Won,2017-03-23,133
ST-000050,UP409DSB,Maureen Marcano,Prospecting,Engaging,2016-11-10,9
ST-000051,JSD4APT2,Versie Hillebrand,Prospecting,Engaging,2016-11-10,25
ST-000052,JSD4APT2,Versie Hillebrand,Engaging,Won,2017-03-12,122
ST-000053,AO9Z2D17,Violet Mclelland,Prospecting,Engaging,2016-11-10,23
ST-000054,AO9Z2D17,Violet Mclelland,Engaging,Lost,2017-03-11,121
ST-000055,5M58DTJK,Elease Gluck,Prospecting,Engaging,2016-11-11,25
ST-000056,5M58DTJK,Elease Gluck,Engaging,Won,2017-03-05,114
ST-000057,KNY1OSAB,Maureen Marcano,Prospecting,Engaging,2016-11-11,20
ST-000058,KNY1OSAB,Maureen Marcano,Engaging,Won,2017-03-14,123
ST-000059,EAZDUUM9,Rosie Papadopoulos,Prospecting,Engaging,2016-11-11,16
ST-000060,EAZDUUM9,Rosie Papadopoulos,Engaging,Lost,2017-03-01,110
ST-000061,2STUSOFE,Versie Hillebrand,Prospecting,Engaging,2016-11-11,10
ST-000062,2STUSOFE,Versie Hillebrand,Engaging,Won,2017-03-03,112
ST-000063,JYKM0B00,James Ascencio,Prospecting,Engaging,2016-11-12,17
ST-000064,JYKM0B00,James Ascencio,Engaging,Won,2017-03-06,114
ST-000065,KU28360J,Kary Hendrixson,Prospecting,Engaging,2016-11-12,21
ST-000066,KU28360J,Kary Hendrixson,Engaging,Won,2017-03-19,127
ST-000067,N4SD17JR,Reed Clapper,Prospecting,Engaging,2016-11-12,11
ST-000068,N4SD17JR,Reed Clapper,Engaging,Won,2017-03-01,109
ST-000069,E67P9Y3Q,Rosalina Dieter,Prospecting,Engaging,2016-11-12,28
ST-000070,E67P9Y3Q,Rosalina Dieter,Engaging,Won,2017-03-03,111
ST-000071,AT3MMVIS,Wilburn Farren,Prospecting,Engaging,2016-11-12,30
ST-000072,AT3MMVIS,Wilburn Farren,Engaging,Won,2017-03-07,115
ST-000073,REJ11LRY,Garret Kinder,Prospecting,Engaging,2016-11-13,3
ST-000074,REJ11LRY,Garret Kinder,Engaging,Won,2017-03-14,121
ST-000075,ERV0CAZ7,Versie Hillebrand,Prospecting,Engaging,2016-11-13,27
ST-000076,ERV0CAZ7,Versie Hillebrand,Engaging,Won,2017-03-09,116
ST-000077,8SOQADK7,Anna Snelling,Prospecting,Engaging,2016-11-14,28
ST-000078,8SOQADK7,Anna Snelling,Engaging,Lost,2017-03-30,136
ST-000079,TCHFT25B,Darcel Schlecht,Prospecting,Engaging,2016-11-14,8
ST-000080,TCHFT25B,Darcel Schlecht,Engaging,Lost,2017-03-08,114
ST-000081,CZVN09WN,Darcel Schlecht,Prospecting,Engaging,2016-11-14,25
ST-000082,CZVN09WN,Darcel Schlecht,Engaging,Won,2017-03-20,126
ST-000083,EG7OFLFR,Kami Bicknell,Prospecting,Engaging,2016-11-14,16
ST-000084,30UQWUKB,Marty Freudenburg,Prospecting,Engaging,2016-11-15,13
ST-000085,30UQWUKB,Marty Freudenburg,Engaging,Won,2017-03-20,125
ST-000086,OLVI7L8M,Cassey Cress,Prospecting,Engaging,2016-11-16,11
ST-000087,97UN20YY,Darcel Schlecht,Prospecting,Engaging,2016-11-16,7
ST-000088,97UN20YY,Darcel Schlecht,Engaging,Won,2017-03-14,118
ST-000089,JXLERZ9O,Kary Hendrixson,Prospecting,Engaging,2016-11-16,9
ST-000090,JXLERZ9O,Kary Hendrixson,Engaging,Won,2017-03-31,135
ST-000091,6ROE69W5,Rosalina Dieter,Prospecting,Engaging,2016-11-16,27
ST-000092,6ROE69W5,Rosalina Dieter,Engaging,Lost,2017-03-11,115
ST-000093,0DFXFKT7,Darcel Schlecht,Prospecting,Engaging,2016-11-17,13
ST-000094,0DFXFKT7,Darcel Schlecht,Engaging,Lost,2017-03-21,124
ST-000095,XKMZVSN4,James Ascencio,Prospecting,Engaging,2016-11-17,6
ST-000096,XKMZVSN4,James Ascencio,Engaging,Won,2017-03-05,108
ST-000097,IU8V0BZK,Marty Freudenburg,Prospecting,Engaging,2016-11-17,5
ST-000098,IU8V0BZK,Marty Freudenburg,Engaging,Won,2017-03-17,120
ST-000099,XY42936P,Maureen Marcano,Prospecting,Engaging,2016-11-17,15
ST-000100,XY42936P,Maureen Marcano,Engaging,Won,2017-03-13,116
ST-000101,XRN54MBM,Niesha Huffines,Prospecting,Engaging,2016-11-17,6
ST-000102,XRN54MBM,Niesha Huffines,Engaging,Won,2017-03-05,108
ST-000103,2V848WZD,Lajuana Vencill,Prospecting,Engaging,2016-11-18,14
ST-000104,2V848WZD,Lajuana Vencill,Engaging,Won,2017-03-04,106
ST-000105,ONYNTUCG,Darcel Schlecht,Prospecting,Engaging,2016-11-19,30
ST-000106,ONYNTUCG,Darcel Schlecht,Engaging,Lost,2017-03-17,118
ST-000107,HIOHX80Y,Darcel Schlecht,Prospecting,Engaging,2016-11-19,14
ST-000108,HIOHX80Y,Darcel Schlecht,Engaging,Won,2017-03-18,119
ST-000109,F5U1ACDD,Kami Bicknell,Prospecting,Engaging,2016-11-19,22
ST-000110,LPKT07PV,Boris Faz,Prospecting,Engaging,2016-11-20,11
ST-000111,LPKT07PV,Boris Faz,Engaging,Won,2017-03-23,123
ST-000112,WPB2SLIG,Donn Cantrell,Prospecting,Engaging,2016-11-20,28
ST-000113,WPB2SLIG,Donn Cantrell,Engaging,Won,2017-03-14,114
ST-000114,XUSUEAV7,Elease Gluck,Prospecting,Engaging,2016-11-20,4
ST-000115,XUSUEAV7,Elease Gluck,Engaging,Won,2017-03-09,109
ST-000116,ZZY4516R,Hayden Neloms,Prospecting,Engaging,2016-11-20,26
ST-000117,3TYPII47,Kami Bicknell,Prospecting,Engaging,2016-11-20,17
ST-000118,3TYPII47,Kami Bicknell,Engaging,Won,2017-03-03,103
ST-000119,7WAX8Z8O,Lajuana Vencill,Prospecting,Engaging,2016-11-20,20
ST-000120,7WAX8Z8O,Lajuana Vencill,Engaging,Lost,2017-03-08,108
ST-000121,MYDUMR3R,Lajuana Vencill,Prospecting,Engaging,2016-11-20,6
ST-000122,MYDUMR3R,Lajuana Vencill,Engaging,Won,2017-03-04,104
ST-000123,0DRC1U9Q,Maureen Marcano,Prospecting,Engaging,2016-11-20,15
ST-000124,37JFKD4I,Niesha Huffines,Prospecting,Engaging,2016-11-20,5
ST-000125,37JFKD4I,Niesha Huffines,Engaging,Won,2017-03-09,109
ST-000126,25YKPHX8,Donn Cantrell,Prospecting,Engaging,2016-11-21,20
ST-000127,25YKPHX8,Donn Cantrell,Engaging,Won,2017-03-21,120
ST-000128,BXXMA7F3,Hayden Neloms,Prospecting,Engaging,2016-11-21,12
ST-000129,BXXMA7F3,Hayden Neloms,Engaging,Lost,2017-03-01,100
ST-000130,GIUUTBXM,Kary Hendrixson,Prospecting,Engaging,2016-11-21,29
ST-000131,GIUUTBXM,Kary Hendrixson,Engaging,Won,2017-03-14,113
ST-000132,MFX2LR1Q,Lajuana Vencill,Prospecting,Engaging,2016-11-21,23
ST-000133,MFX2LR1Q,Lajuana Vencill,Engaging,Won,2017-03-15,114
ST-000134,DUHE9FLY,Marty Freudenburg,Prospecting,Engaging,2016-11-21,22
ST-000135,DUHE9FLY,Marty Freudenburg,Engaging,Won,2017-03-01,100
ST-000136,96BSG7R1,Zane Levy,Prospecting,Engaging,2016-11-21,30
ST-000137,96BSG7R1,Zane Levy,Engaging,Lost,2017-03-17,116
ST-000138,7FQMSWIX,Corliss Cosme,Prospecting,Engaging,2016-11-22,14
ST-000139,7FQMSWIX,Corliss Cosme,Engaging,Won,2017-03-04,102
ST-000140,C20AVXN7,Darcel Schlecht,Prospecting,Engaging,2016-11-22,21
ST-000141,C20AVXN7,Darcel Schlecht,Engaging,Won,2017-03-14,112
ST-000142,GS1QVWCR,Kami Bicknell,Prospecting,Engaging,2016-11-22,9
ST-000143,GS1QVWCR,Kami Bicknell,Engaging,Won,2017-03-31,129
ST-000144,ZWH8FXY3,Marty Freudenburg,Prospecting,Engaging,2016-11-22,25
ST-000145,ZWH8FXY3,Marty Freudenburg,Engaging,Won,2017-03-03,101
ST-000146,2U94Y3Q9,Rosie Papadopoulos,Prospecting,Engaging,2016-11-22,5
ST-000147,2U94Y3Q9,Rosie Papadopoulos,Engaging,Lost,2017-03-20,118
ST-000148,AAR79NOO,Versie Hillebrand,Prospecting,Engaging,2016-11-22,4
ST-000149,AAR79NOO,Versie Hillebrand,Engaging,Won,2017-03-11,109
ST-000150,B6B0PNR2,Vicki Laflamme,Prospecting,Engaging,2016-11-22,24
ST-000151,B6B0PNR2,Vicki Laflamme,Engaging,Won,2017-03-05,103
ST-000152,M7I5O9YU,Corliss Cosme,Prospecting,Engaging,2016-11-23,10
ST-000153,LXZA2OSZ,Corliss Cosme,Prospecting,Engaging,2016-11-23,27
ST-000154,LXZA2OSZ,Corliss Cosme,Engaging,Won,2017-03-03,100
ST-000155,N0ONCYVZ,Donn Cantrell,Prospecting,Engaging,2016-11-23,12
ST-000156,N0ONCYVZ,Donn Cantrell,Engaging,Lost,2017-03-30,127
ST-000157,GYB4W2AU,Elease Gluck,Prospecting,Engaging,2016-11-23,5
ST-000158,513DPFX5,Gladys Colclough,Prospecting,Engaging,2016-11-23,30
ST-000159,513DPFX5,Gladys Colclough,Engaging,Won,2017-03-03,100
ST-000160,RU023K5W,Gladys Colclough,Prospecting,Engaging,2016-11-23,10
ST-000161,RU023K5W,Gladys Colclough,Engaging,Won,2017-03-17,114
ST-000162,VDIU10RV,Markita Hansen,Prospecting,Engaging,2016-11-23,30
ST-000163,BZCBQ514,Markita Hansen,Prospecting,Engaging,2016-11-23,6
ST-000164,BZCBQ514,Markita Hansen,Engaging,Won,2017-03-01,98
ST-000165,HEE6P0QH,Anna Snelling,Prospecting,Engaging,2016-11-24,15
ST-000166,HEE6P0QH,Anna Snelling,Engaging,Won,2017-03-25,121
ST-000167,L8CHRJ2B,Cassey Cress,Prospecting,Engaging,2016-11-24,11
ST-000168,L8CHRJ2B,Cassey Cress,Engaging,Won,2017-03-01,97
ST-000169,579LZ3F9,Daniell Hammack,Prospecting,Engaging,2016-11-24,17
ST-000170,SU8JNMP4,Kami Bicknell,Prospecting,Engaging,2016-11-24,23
ST-000171,V2X2KMUR,Kami Bicknell,Prospecting,Engaging,2016-11-24,29
ST-000172,V2X2KMUR,Kami Bicknell,Engaging,Won,2017-03-28,124
ST-000173,AJIPJP75,Marty Freudenburg,Prospecting,Engaging,2016-11-24,14
ST-000174,AJIPJP75,Marty Freudenburg,Engaging,Lost,2017-03-05,101
ST-000175,NYVA2G6U,Versie Hillebrand,Prospecting,Engaging,2016-11-24,8
ST-000176,NYVA2G6U,Versie Hillebrand,Engaging,Won,2017-03-02,98
ST-000177,FF45BXTL,Vicki Laflamme,Prospecting,Engaging,2016-11-24,14
ST-000178,FF45BXTL,Vicki Laflamme,Engaging,Won,2017-03-27,123
ST-000179,TTA9LYBS,Anna Snelling,Prospecting,Engaging,2016-11-25,14
ST-000180,TTA9LYBS,Anna Snelling,Engaging,Won,2017-03-01,96
ST-000181,PAGZQH8L,Cecily Lampkin,Prospecting,Engaging,2016-11-25,9
ST-000182,PAGZQH8L,Cecily Lampkin,Engaging,Won,2017-03-06,101
ST-000183,J7YF6DS7,Corliss Cosme,Prospecting,Engaging,2016-11-25,24
ST-000184,J7YF6DS7,Corliss Cosme,Engaging,Won,2017-03-01,96
ST-000185,S5IXY4Z9,Corliss Cosme,Prospecting,Engaging,2016-11-25,11
ST-000186,S5IXY4Z9,Corliss Cosme,Engaging,Won,2017-03-06,101
ST-000187,JQBJMETQ,Darcel Schlecht,Prospecting,Engaging,2016-11-25,25
ST-000188,JQBJMETQ,Darcel Schlecht,Engaging,Won,2017-03-27,122
ST-000189,0LVWSWEW,Violet Mclelland,Prospecting,Engaging,2016-11-25,24
ST-000190,0LVWSWEW,Violet Mclelland,Engaging,Won,2017-03-06,101
ST-000191,K53BC1T9,Anna Snelling,Prospecting,Engaging,2016-11-26,23
ST-000192,K53BC1T9,Anna Snelling,Engaging,Lost,2017-03-27,121
ST-000193,D40N5I9Y,Darcel Schlecht,Prospecting,Engaging,2016-11-26,5
ST-000194,D40N5I9Y,Darcel Schlecht,Engaging,Won,2017-03-08,102
ST-000195,051QTX8Z,Niesha Huffines,Prospecting,Engaging,2016-11-26,22
ST-000196,051QTX8Z,Niesha Huffines,Engaging,Won,2017-03-21,115
ST-000197,5D2XH04S,Reed Clapper,Prospecting,Engaging,2016-11-26,23
ST-000198,5D2XH04S,Reed Clapper,Engaging,Won,2017-03-12,106
ST-000199,V9E582SK,Garret Kinder,Prospecting,Engaging,2016-11-27,8
ST-000200,V9E582SK,Garret Kinder,Engaging,Won,2017-03-16,109
ST-000201,UK0LEZRJ,Kary Hendrixson,Prospecting,Engaging,2016-11-27,20
ST-000202,UK0LEZRJ,Kary Hendrixson,Engaging,Won,2017-03-03,96
ST-000203,PFFHM7HR,Markita Hansen,Prospecting,Engaging,2016-11-27,26
ST-000204,IT10CFQH,Rosalina Dieter,Prospecting,Engaging,2016-11-27,10
ST-000205,IT10CFQH,Rosalina Dieter,Engaging,Won,2017-03-26,119
ST-000206,8VKD2CCH,Rosie Papadopoulos,Prospecting,Engaging,2016-11-27,8
ST-000207,8VKD2CCH,Rosie Papadopoulos,Engaging,Won,2017-03-21,114
ST-000208,2XQAKBXH,Zane Levy,Prospecting,Engaging,2016-11-27,17
ST-000209,2XQAKBXH,Zane Levy,Engaging,Won,2017-03-11,104
ST-000210,7G7YLGJO,Zane Levy,Prospecting,Engaging,2016-11-27,15
ST-000211,7G7YLGJO,Zane Levy,Engaging,Won,2017-03-21,114
ST-000212,GCA97W27,Darcel Schlecht,Prospecting,Engaging,2016-11-28,11
ST-000213,GCA97W27,Darcel Schlecht,Engaging,Won,2017-03-06,98
ST-000214,K8FUZHOG,Kary Hendrixson,Prospecting,Engaging,2016-11-28,23
ST-000215,K8FUZHOG,Kary Hendrixson,Engaging,Won,2017-03-26,118
ST-000216,5WJZMULK,Maureen Marcano,Prospecting,Engaging,2016-11-28,25
ST-000217,5WJZMULK,Maureen Marcano,Engaging,Won,2017-03-19,111
ST-000218,ZPYD4T9W,Versie Hillebrand,Prospecting,Engaging,2016-11-28,20
ST-000219,ZPYD4T9W,Versie Hillebrand,Engaging,Won,2017-03-07,99
ST-000220,KE9ZEDS8,Gladys Colclough,Prospecting,Engaging,2016-11-29,10
ST-000221,KE9ZEDS8,Gladys Colclough,Engaging,Won,2017-03-07,98
ST-000222,7KK0HQ4C,Lajuana Vencill,Prospecting,Engaging,2016-11-29,24
ST-000223,7KK0HQ4C,Lajuana Vencill,Engaging,Lost,2017-03-28,119
ST-000224,FP7014Z0,Lajuana Vencill,Prospecting,Engaging,2016-11-29,13
ST-000225,FP7014Z0,Lajuana Vencill,Engaging,Won,2017-03-12,103
ST-000226,N4HFHDMW,Wilburn Farren,Prospecting,Engaging,2016-11-29,29
ST-000227,N4HFHDMW,Wilburn Farren,Engaging,Won,2017-03-10,101
ST-000228,2HFLKREC,Cassey Cress,Prospecting,Engaging,2016-11-30,27
ST-000229,2HFLKREC,Cassey Cress,Engaging,Won,2017-03-15,105
ST-000230,7JVTTVCO,Violet Mclelland,Prospecting,Engaging,2016-11-30,27
ST-000231,7JVTTVCO,Violet Mclelland,Engaging,Won,2017-03-24,114
ST-000232,3X13866U,Anna Snelling,Prospecting,Engaging,2016-12-01,4
ST-000233,3X13866U,Anna Snelling,Engaging,Lost,2017-03-06,95
ST-000234,7LE19SYE,Cassey Cress,Prospecting,Engaging,2016-12-01,10
ST-000235,7LE19SYE,Cassey Cress,Engaging,Won,2017-03-22,111
ST-000236,J5V2M7Y1,Corliss Cosme,Prospecting,Engaging,2016-12-01,29
ST-000237,J5V2M7Y1,Corliss Cosme,Engaging,Won,2017-03-26,115
ST-000238,41MURAI5,Corliss Cosme,Prospecting,Engaging,2016-12-01,4
ST-000239,41MURAI5,Corliss Cosme,Engaging,Won,2017-03-28,117
ST-000240,QHI8WRIA,Darcel Schlecht,Prospecting,Engaging,2016-12-01,28
ST-000241,QHI8WRIA,Darcel Schlecht,Engaging,Won,2017-03-30,119
ST-000242,AJXAXV4W,Lajuana Vencill,Prospecting,Engaging,2016-12-01,13
ST-000243,AJXAXV4W,Lajuana Vencill,Engaging,Lost,2017-03-02,91
ST-000244,VPDXX5PJ,Niesha Huffines,Prospecting,Engaging,2016-12-01,15
ST-000245,VPDXX5PJ,Niesha Huffines,Engaging,Won,2017-03-26,115
ST-000246,PZB9NUK8,Vicki Laflamme,Prospecting,Engaging,2016-12-01,11
ST-000247,PZB9NUK8,Vicki Laflamme,Engaging,Won,2017-03-05,94
ST-000248,A0ANOYPF,Darcel Schlecht,Prospecting,Engaging,2016-12-02,5
ST-000249,A0ANOYPF,Darcel Schlecht,Engaging,Won,2017-03-09,97
ST-000250,0P4AAPYX,Hayden Neloms,Prospecting,Engaging,2016-12-02,9
ST-000251,0P4AAPYX,Hayden Neloms,Engaging,Won,2017-03-03,91
ST-000252,O6T5WC3W,Hayden Neloms,Prospecting,Engaging,2016-12-02,21
ST-000253,O6T5WC3W,Hayden Neloms,Engaging,Won,2017-03-04,92
ST-000254,0NO04P6C,Hayden Neloms,Prospecting,Engaging,2016-12-02,25
ST-000255,0NO04P6C,Hayden Neloms,Engaging,Won,2017-03-04,92
ST-000256,22OFSXBT,Jonathan Berthelot,Prospecting,Engaging,2016-12-02,13
ST-000257,22OFSXBT,Jonathan Berthelot,Engaging,Won,2017-03-30,118
ST-000258,MRXZTMM6,Kary Hendrixson,Prospecting,Engaging,2016-12-02,9
ST-000259,MRXZTMM6,Kary Hendrixson,Engaging,Won,2017-03-20,108
ST-000260,LGI8QEC2,Moses Frase,Prospecting,Engaging,2016-12-02,23
ST-000261,LGI8QEC2,Moses Frase,Engaging,Won,2017-03-06,94
ST-000262,6KZ0NCFX,Versie Hillebrand,Prospecting,Engaging,2016-12-02,18
ST-000263,6KZ0NCFX,Versie Hillebrand,Engaging,Won,2017-03-14,102
ST-000264,3SF8O9S6,Vicki Laflamme,Prospecting,Engaging,2016-12-02,15
ST-000265,3SF8O9S6,Vicki Laflamme,Engaging,Won,2017-03-27,115
ST-000266,CNM0H9FR,Zane Levy,Prospecting,Engaging,2016-12-02,23
ST-000267,XK668R7C,Darcel Schlecht,Prospecting,Engaging,2016-12-03,17
ST-000268,XK668R7C,Darcel Schlecht,Engaging,Lost,2017-03-12,99
ST-000269,TZCAQWL3,Darcel Schlecht,Prospecting,Engaging,2016-12-03,7
ST-000270,TZCAQWL3,Darcel Schlecht,Engaging,Lost,2017-03-19,106
ST-000271,BADC6A9H,Darcel Schlecht,Prospecting,Engaging,2016-12-03,11
ST-000272,BADC6A9H,Darcel Schlecht,Engaging,Won,2017-03-23,110
ST-000273,B8E0UUZR,Darcel Schlecht,Prospecting,Engaging,2016-12-03,7
ST-000274,B8E0UUZR,Darcel Schlecht,Engaging,Won,2017-03-22,109
ST-000275,I043RXJV,Moses Frase,Prospecting,Engaging,2016-12-03,10
ST-000276,I043RXJV,Moses Frase,Engaging,Lost,2017-03-17,104
ST-000277,MWWB44CC,Reed Clapper,Prospecting,Engaging,2016-12-03,26
ST-000278,MWWB44CC,Reed Clapper,Engaging,Won,2017-03-02,89
ST-000279,HBTINPDG,Vicki Laflamme,Prospecting,Engaging,2016-12-03,20
ST-000280,HBTINPDG,Vicki Laflamme,Engaging,Lost,2017-03-09,96
ST-000281,DZ3KHZSX,Corliss Cosme,Prospecting,Engaging,2016-12-04,20
ST-000282,DZ3KHZSX,Corliss Cosme,Engaging,Won,2017-03-20,106
ST-000283,3W1K7X5F,Darcel Schlecht,Prospecting,Engaging,2016-12-04,11
ST-000284,3W1K7X5F,Darcel Schlecht,Engaging,Lost,2017-03-09,95
ST-000285,45A57X68,Darcel Schlecht,Prospecting,Engaging,2016-12-04,26
ST-000286,45A57X68,Darcel Schlecht,Engaging,Won,2017-03-12,98
ST-000287,9SLYC4TR,Gladys Colclough,Prospecting,Engaging,2016-12-04,21
ST-000288,9SLYC4TR,Gladys Colclough,Engaging,Won,2017-03-09,95
ST-000289,JLWKWQYC,James Ascencio,Prospecting,Engaging,2016-12-04,16
ST-000290,JLWKWQYC,James Ascencio,Engaging,Won,2017-03-08,94
ST-000291,7QC6FOKW,Kami Bicknell,Prospecting,Engaging,2016-12-04,21
ST-000292,7QC6FOKW,Kami Bicknell,Engaging,Won,2017-03-10,96
ST-000293,XA184CMW,Marty Freudenburg,Prospecting,Engaging,2016-12-04,15
ST-000294,XA184CMW,Marty Freudenburg,Engaging,Won,2017-03-16,102
ST-000295,S0N7BYU3,Maureen Marcano,Prospecting,Engaging,2016-12-04,14
ST-000296,S0N7BYU3,Maureen Marcano,Engaging,Won,2017-03-08,94
ST-000297,6WOMHAJM,Boris Faz,Prospecting,Engaging,2016-12-05,10
ST-000298,6WOMHAJM,Boris Faz,Engaging,Won,2017-03-14,99
ST-000299,G1QGATKV,Cassey Cress,Prospecting,Engaging,2016-12-05,7
ST-000300,G1QGATKV,Cassey Cress,Engaging,Won,2017-03-30,115
ST-000301,UAE5ZC7O,Daniell Hammack,Prospecting,Engaging,2016-12-05,19
ST-000302,6XFVQI32,Donn Cantrell,Prospecting,Engaging,2016-12-05,18
ST-000303,6XFVQI32,Donn Cantrell,Engaging,Won,2017-03-23,108
ST-000304,JUCNIG4H,James Ascencio,Prospecting,Engaging,2016-12-05,5
ST-000305,OGD4MDJ9,Maureen Marcano,Prospecting,Engaging,2016-12-05,27
ST-000306,OGD4MDJ9,Maureen Marcano,Engaging,Won,2017-03-21,106
ST-000307,4NGBUZWJ,Lajuana Vencill,Prospecting,Engaging,2016-12-06,4
ST-000308,4NGBUZWJ,Lajuana Vencill,Engaging,Won,2017-03-12,96
ST-000309,EFG5DGV5,Markita Hansen,Prospecting,Engaging,2016-12-06,30
ST-000310,EFG5DGV5,Markita Hansen,Engaging,Won,2017-03-16,100
ST-000311,82MM4H33,Zane Levy,Prospecting,Engaging,2016-12-06,6
ST-000312,82MM4H33,Zane Levy,Engaging,Won,2017-03-09,93
ST-000313,14PM641K,Cassey Cress,Prospecting,Engaging,2016-12-07,7
ST-000314,14PM641K,Cassey Cress,Engaging,Won,2017-03-07,90
ST-000315,DSBGHOPN,Daniell Hammack,Prospecting,Engaging,2016-12-07,23
ST-000316,DSBGHOPN,Daniell Hammack,Engaging,Lost,2017-03-20,103
ST-000317,1YSOZLHF,Daniell Hammack,Prospecting,Engaging,2016-12-07,8
ST-000318,1YSOZLHF,Daniell Hammack,Engaging,Won,2017-03-28,111
ST-000319,E8RP9FRW,Gladys Colclough,Prospecting,Engaging,2016-12-07,28
ST-000320,E8RP9FRW,Gladys Colclough,Engaging,Won,2017-03-12,95
ST-000321,787IRG9Q,Hayden Neloms,Prospecting,Engaging,2016-12-07,24
ST-000322,787IRG9Q,Hayden Neloms,Engaging,Won,2017-03-03,86
ST-000323,0TUS4NAC,Jonathan Berthelot,Prospecting,Engaging,2016-12-07,16
ST-000324,0TUS4NAC,Jonathan Berthelot,Engaging,Won,2017-03-11,94
ST-000325,FAJTQMUM,Kami Bicknell,Prospecting,Engaging,2016-12-07,22
ST-000326,FAJTQMUM,Kami Bicknell,Engaging,Won,2017-03-20,103
ST-000327,TWF0J0DF,Cecily Lampkin,Prospecting,Engaging,2016-12-08,5
ST-000328,TWF0J0DF,Cecily Lampkin,Engaging,Won,2017-03-01,83
